,Unnamed: 0.1,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
230,247,247,기흥ICT밸리 SK V1 전기차충전소,경기 용인시 기흥구 기흥로 58-1,4,24,1,4,0,0,0,0,0,0,0,0,0,0,0,0,127.1193559,37.28002299
233,250,250,한숲스퀘어옐로우 전기차충전소,경기 용인시 처인구 남사읍 한숲로 45 지하1층 관리사무소 앞,0,24,1,1,1,1,1,1,0,0,0,0,1,1,0,0,127.1700463,37.15281914
237,254,254,코스트코 공세점 전기차충전소,경기 용인시 기흥구 탑실로 38 옥상주차장,14,12,1,14,7,7,7,7,7,7,7,7,7,7,7,7,127.1090244,37.23827198
241,258,258,에스테크 조명연구소 전기차충전소,경기 용인시 처인구 백암면 삼백로785번길 18,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.3690711,37.14100887
244,261,261,광교푸르지오시티1단지 전기차충전소,경기 용인시 수지구 광교중앙로295번길 21,3,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,127.0683911,37.29800289
246,263,263,상갈동주민센터 전기차충전소,경기 용인시 기흥구 상갈로 2,0,9,1,1,1,1,0,0,0,0,0,1,1,1,0,0,127.1076939,37.26657957
253,272,272,신한은행 연수원 전기차충전소,경기 용인시 기흥구 기흥단지로158번길 11,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.115817,37.2260431
254,273,273,이마트 보라점 전기차충전소,경기 용인시 기흥구 한보라1로 92 본관4층 F구역,2,13,1,2,0,0,0,0,1,1,0,0,0,0,0,0,127.1050892,37.24753107
257,276,276,주식회사태화정보통신 전기차충전소,경기 용인시 처인구 남사읍 천덕산로74번길 47,2,24,1,2,0,0,0,0,0,0,0,0,1,1,0,0,127.1153845,37.11065786
258,277,277,용인시청소년수련원 전기차충전소,경기 용인시 처인구 양지면 죽양대로2071번길 50,0,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.3136233,37.21442476
261,280,280,동백아펠바움3차 전기차충전소,경기 용인시 기흥구 동백2로32번길 7-35,0,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,127.1587769,37.26733878
267,287,287,아르피아스포츠센터 전기차충전소,경기 용인시 수지구 포은대로 499,2,24,1,2,0,0,0,0,0,0,2,1,0,0,0,0,127.1047625,37.32561804
271,291,291,용인시 농산물종합가공지원센터 전기차충전소,경기 용인시 처인구 원삼면 내동로 61,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2986541,37.17353859
274,295,295,용인시민체육공원 전기차충전소,경기 용인시 처인구 동백죽전대로 61,0,12,1,4,0,0,0,0,1,0,1,1,1,1,0,0,127.165158,37.24963097
275,296,296,용인우체국 전기차충전소,경기 용인시 처인구 중부대로1161번길 73,0,9,1,7,0,0,0,0,0,0,0,0,0,0,0,0,127.1806425,37.24200401
276,297,297,이동읍화산C.C 전기차충전소,경기 용인시 처인구 이동읍 화산로 239,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2322762,37.14797819
277,298,298,송전휴게소 전기차충전소,경기 용인시 처인구 이동읍 남북대로 2616,0,24,1,1,0,0,0,0,1,0,1,0,0,0,0,0,127.2056288,37.14060521
279,300,300,용인광교2차푸르지오시티C동 전기차충전소,경기 용인시 수지구 광교중앙로 305,3,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,127.0687895,37.29733706
282,303,303,용인처인성역사교육관 전기차충전소,경기 용인시 처인구 남사읍 처인성로 673,0,12,1,1,1,1,1,1,1,0,0,0,1,1,1,0,127.1700454,37.14842098
283,304,304,대한불교조계종법륜사 전기차충전소,경기 용인시 처인구 원삼면 농촌파크로 126 야외주차장,2,24,1,2,1,0,0,0,0,0,0,0,0,0,0,0,127.2985046,37.16964011
284,305,305,삼성인력개발원 창조관 전기차충전소,경기 용인시 처인구 포곡읍 에버랜드로562번길 10-16,0,24,1,3,0,0,0,0,0,1.5,1.5,0,0,0,0,0,127.1973314,37.29723454
291,312,312,광림남교회 전기차충전소,경기 용인시 기흥구 동백죽전대로 245 입구주차타워 1층,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1560155,37.26328813
