,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
143,143,용인휴게소 강릉방향 전기차충전소,경기 용인시 처인구 양지면 주북리 958-5,0,24,1,2,0,0,1,1,1,2,0,0,0,0,1,0,127.2431195,37.24551135
144,144,수지보원아파트 104동 전기차충전소,경기 용인시 수지구 수풍로 16,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.0911935,37.32611746
145,145,용인신갈푸르지오아파트 전기차충전소,경기 용인시 기흥구 기흥로116번길 77,5,14,1,5,2,2,2,2,2,0,0,0,1,1,2,3,127.1180856,37.28952139
146,146,용인수지우체국 전기차충전소,경기 용인시 수지구 문정로 3,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.0968436,37.32124532
147,147,용인 삼가풍림아파트 전기차충전소,경기 용인시 처인구 삼가로 28,2,24,1,2,2,2,2,2,0,0,0,0,0,0,0,0,127.1668905,37.24563269
148,148,어반런드렛 전기차충전소,경기 용인시 기흥구 용구대로2469번길 47,4,9,1,4,1,1,1,1,1,0,0,0,0,0,0,0,127.1048714,37.31089938
149,149,벽산첼시빌2아파트5 전기차충전소,경기 용인시 수지구 성복1로 107,2,24,1,2,2,2,2,1,1,0,0,1,0,0,0,0,127.0653837,37.31472754
150,150,신봉동일하이빌 2단지1 전기차충전소,경기 용인시 수지구 신봉3로11번길 10-7,2,24,1,2,2,1,1,1,1,1,1,1,0,0,1,1,127.0675946,37.32609211
151,151,동천동주민센터 전기차충전소,경기 용인시 수지구 신수로783번길 40,0,9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,127.099239,37.34186011
153,153,자연앤6단지3 전기차충전소,경기 용인시 기흥구 강남동로 46,2,24,1,2,1,1,1,1,0,2,0,1,0,0,1,1,127.1318498,37.2697067
154,154,신촌마을죽전스타클래스타운하우스5블럭,경기 용인시 기흥구 신촌로 78,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1127154,37.30614318
